;title;X;y;description
0;Fundraising Leader;Fundraising Leader We are a small WorldJobs Ltd. located in 123 Fake Street, Faketown, Fakeland with the Mission of helping Senior Citizens with the cost of In-Home Care and Assisted living, we have been operating for 2023-10-01 and need an experienced fundraiser to help us out. We are looking for someone who has experience with small nonprofits, with a limited budget and their fundraising efforts, this will be a volunteer, part time position that should only require between 3 and 8 hours per week, coming up with fundraising ideas and their promotion and teaching the rest of us how to do this.;['address an audience', 'advise others', 'apply knowledge of social sciences and humanities', 'approach challenges positively', 'calculate probabilities', 'carry out calculations', 'cope with stress', 'delegate responsibilities', 'demonstrate curiosity', 'demonstrate loyalty', 'instruct others', 'lead others', 'organise information, objects and resources', 'plan', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show confidence', 'show determination', 'show initiative', 'think creatively'];We are a small <organisation> located in <address> with the Mission of helping Senior Citizens with the cost of In-Home Care and Assisted living, we have been operating for <date> and need an experienced fundraiser to help us out. We are looking for someone who has experience with small nonprofits, with a limited budget and their fundraising efforts, this will be a volunteer, part time position that should only require between 3 and 8 hours per week, coming up with fundraising ideas and their promotion and teaching the rest of us how to do this.
1;Bring Happiness and Joy Through Activities in Senior Living Facilities!;Bring Happiness and Joy Through Activities in Senior Living Facilities! Brigthen someone's day, or even the whole room, by volunteering your time to host activities such as Bingo, Trivia or any kind of game night in local care facilities! WorldJobs Ltd. is seeking  enthusiastic volunteers to bring fun, laughter, and companionship to seniors and individuals in need of social connection. As a volunteer, you can: -Bring excitement through games like Bingo, Trivia or Arts and Crafts -Build relationships with residents who cherish companionship -Boost morale and create a positive, engaging atmosphere No experience is needed- just a warm heart and a willingness to share your time! Volunteers are needed in Contra Costa, Solano, San Francisco, Alameda, and San Jose. If you are ready to bring joy to others, sign up today! Contact us at Maxime Samplinger- Volunteer Coordinator, volunteer@WorldJobs Ltd..com to get started! Be the reason someone smiles today!;['address an audience', 'advise others', 'approach challenges positively', 'build team spirit', 'ensure customer orientation', 'instruct others', 'maintain psychological well-being', 'motivate others', 'organise information, objects and resources', 'participate actively in civic life', 'plan', 'promote ideas, products, services ', 'respect the diversity of cultural values and norms', 'show empathy'];Brigthen someone's day, or even the whole room, by volunteering your time to host activities such as Bingo, Trivia or any kind of game night in local care facilities! <organisation> is seeking  enthusiastic volunteers to bring fun, laughter, and companionship to seniors and individuals in need of social connection. As a volunteer, you can: -Bring excitement through games like Bingo, Trivia or Arts and Crafts -Build relationships with residents who cherish companionship -Boost morale and create a positive, engaging atmosphere No experience is needed- just a warm heart and a willingness to share your time! Volunteers are needed in Contra Costa, Solano, San Francisco, Alameda, and San Jose. If you are ready to bring joy to others, sign up today! Contact us at <first_name> <last_name>- Volunteer Coordinator, volunteer@<organisation>.com to get started! Be the reason someone smiles today!
2;Bring Happiness to Some in Need - Santa Cruz/Watsonville;Bring Happiness to Some in Need - Santa Cruz/Watsonville You can bring happiness to someone in need! At WorldJobs Ltd., we are looking for dedicated and compassionate volunteers to provide companionship for our patients. You can read a book, share stories, play music or games and take them out for a stroll in the garden. Spending time with hospice patients is such a heart warming experience. It is a wonderful way to give of your time and serve the patients during the end of life. Our hospice patients are located in skilled nursing facilities and homes throughout the Central Coast, Faketown, Fakeland, Faketown, Fakeland and Faketown, Fakeland Counties. Apple here: https://www.worldjobs.com;['advise others', 'apply hygiene standards', 'apply knowledge of philosophy, ethics and religion', 'approach challenges positively', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'ensure customer orientation', 'instruct others', 'maintain psychological well-being', 'manage frustration', 'motivate others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show confidence', 'show empathy'];You can bring happiness to someone in need! At <organisation>, we are looking for dedicated and compassionate volunteers to provide companionship for our patients. You can read a book, share stories, play music or games and take them out for a stroll in the garden. Spending time with hospice patients is such a heart warming experience. It is a wonderful way to give of your time and serve the patients during the end of life. Our hospice patients are located in skilled nursing facilities and homes throughout the Central Coast, <location>, <location> and <location> Counties. Apple here: <url>
3;MANDARIN SPEAKERS - IT'S ONLY ONE PHONE CALL PER WEEK - BUT IT'S AN IMPORTANT ONE!;MANDARIN SPEAKERS - IT'S ONLY ONE PHONE CALL PER WEEK - BUT IT'S AN IMPORTANT ONE! Our Friendly Visiting Program matches volunteers with homebound and isolated older adults to help lessen their social isolation. Many of these clients cannot have in home visitors, but would really benefit from one phone call per week, knowing someone is out there who values what they have to say. Right now we have several Mandarin speaking clients who could use a phone caller. If you, or someone you know, are interested in this opportunity, please reach out via email or by calling Maxime at +1234567890, ID78846. Thank you for reading this far!;['address an audience', 'assume responsibility', 'demonstrate trustworthiness', 'ensure customer orientation', 'list of languages', 'maintain psychological well-being', 'moderate a discussion', 'motivate others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show empathy', 'show initiative'];Our Friendly Visiting Program matches volunteers with homebound and isolated older adults to help lessen their social isolation. Many of these clients cannot have in home visitors, but would really benefit from one phone call per week, knowing someone is out there who values what they have to say. Right now we have several Mandarin speaking clients who could use a phone caller. If you, or someone you know, are interested in this opportunity, please reach out via email or by calling <first_name> at <phone>, <identifier>. Thank you for reading this far!
4;Brighten Someone's Day with a Phone Call Away: Hospice Tuck-In Caller;Brighten Someone's Day with a Phone Call Away: Hospice Tuck-In Caller Want to make a lasting difference in someone’s life as well as your own. WorldJobs Ltd. is looking for dedicated volunteers to call the patients to make sure they have everything they need as the weekend approaches. Our onboarding process includes comprehensive hospice education and training. Consider joining our team of compassionate volunteers making a difference in brightening the lives of our patients!;['apply knowledge of philosophy, ethics and religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage personal progression', 'manage time', 'meet commitments', 'organise information, objects and resources', 'protect the health of others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'work independently'];Want to make a lasting difference in someone’s life as well as your own. <organisation> is looking for dedicated volunteers to call the patients to make sure they have everything they need as the weekend approaches. Our onboarding process includes comprehensive hospice education and training. Consider joining our team of compassionate volunteers making a difference in brightening the lives of our patients!
5;Volunteer Support Assistant;Volunteer Support Assistant Lend a Hand, Change a Life: Volunteer with WorldJobs Ltd.!  Are you ready to make a meaningful difference in the lives of single mothers and their children? WorldJobs Ltd. is seeking compassionate and dedicated volunteers to join our team, that provides vital support to single mothers and their children in our community.  Why Volunteer with Us?  * Support Single Mothers: Help alleviate the stress and challenges single mothers face by providing reliable childcare. * Flexible Opportunities: Whether you can volunteer once a week or more frequently, your time is invaluable. * Community and Connection: Be part of a caring community dedicated to uplifting families. * Personal Fulfillment: Experience the joy of knowing you are making a significant impact in someone’s life.  What we Offer: * A friendly and inclusive environment * Opportunities to build lasting relationships with families and other volunteers  Tasks: Uses automated office systems, such as word processing equipment or a computer, to prepare a variety of letters, memos, and other material from draft or specific instructions. Selects the appropriate letter or memo format, proofreads and edits documents for grammar, punctuation, and spelling, and prepares document for distribution or mail. Originates procedural correspondence such as form letters and routine notices to respond to requests for information or to begin office processes. Sets up and maintains office databases and logs. Creates and updates office spreadsheets. Establishes and maintains confidential alphabetical, chronological, or subject matter files and records. Locates, extracts, and summarizes information from files for preparation of reports or to respond to inquiries, routine requests, or complaints. Determines release of information according to established procedures and confidentiality. Tracks the handling of correspondence and/or written complaints to the time of completion. Ensures office responses are completed in a timely manner. Responds to inquiries of a routine nature regarding the program policies in person or virtually, by telephone, or by regular or electronic mail. Collects information regarding more complex inquiries and refers to appropriate staff for follow-up as necessary. Maintains calendars, schedules appointments and meetings, and reserves meeting room facilities or space. Types, photocopies, and distributes meeting agendas and/or minutes. Prepares or assists in the preparation of personnel related documents and forms. Ability to research and locate timekeeping functions for the work unit. Operates office machinery, such as microcomputers, photocopiers, fax machines, calculators, telephones, scanners, and printers.;['assume responsibility', 'attend to detail', 'comply with regulations', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'manage time', 'operate digital hardware', 'organise information, objects and resources', 'plan', 'report facts', 'respect confidentiality obligations', 'use communication and collaboration software', 'work efficiently'];Lend a Hand, Change a Life: Volunteer with <organisation>!  Are you ready to make a meaningful difference in the lives of single mothers and their children? <organisation> is seeking compassionate and dedicated volunteers to join our team, that provides vital support to single mothers and their children in our community.  Why Volunteer with Us?  * Support Single Mothers: Help alleviate the stress and challenges single mothers face by providing reliable childcare. * Flexible Opportunities: Whether you can volunteer once a week or more frequently, your time is invaluable. * Community and Connection: Be part of a caring community dedicated to uplifting families. * Personal Fulfillment: Experience the joy of knowing you are making a significant impact in someone’s life.  What we Offer: * A friendly and inclusive environment * Opportunities to build lasting relationships with families and other volunteers  Tasks: Uses automated office systems, such as word processing equipment or a computer, to prepare a variety of letters, memos, and other material from draft or specific instructions. Selects the appropriate letter or memo format, proofreads and edits documents for grammar, punctuation, and spelling, and prepares document for distribution or mail. Originates procedural correspondence such as form letters and routine notices to respond to requests for information or to begin office processes. Sets up and maintains office databases and logs. Creates and updates office spreadsheets. Establishes and maintains confidential alphabetical, chronological, or subject matter files and records. Locates, extracts, and summarizes information from files for preparation of reports or to respond to inquiries, routine requests, or complaints. Determines release of information according to established procedures and confidentiality. Tracks the handling of correspondence and/or written complaints to the time of completion. Ensures office responses are completed in a timely manner. Responds to inquiries of a routine nature regarding the program policies in person or virtually, by telephone, or by regular or electronic mail. Collects information regarding more complex inquiries and refers to appropriate staff for follow-up as necessary. Maintains calendars, schedules appointments and meetings, and reserves meeting room facilities or space. Types, photocopies, and distributes meeting agendas and/or minutes. Prepares or assists in the preparation of personnel related documents and forms. Ability to research and locate timekeeping functions for the work unit. Operates office machinery, such as microcomputers, photocopiers, fax machines, calculators, telephones, scanners, and printers.
6;Join our Fundraising & Marketing Committee!;Join our Fundraising & Marketing Committee! WorldJobs Ltd.'s The Fundraising & Marketing Committee supports creative and strategic fundraising and marketing activities under the guidance of development staff. This includes attending monthly meetings, contributing to the development and execution of fundraising and marketing events and campaigns, communicating fundraising priorities to the rest of the BoD and encouraging individual fundraising efforts. You will have the opportunity to gain greater insight into how to support the financial needs of executing quality programming. Committee Meetings Regularly attend and actively participate in monthly committee meetings Review agenda and Fundraising Calendar prior to meetings Assist in planning, reviewing and guiding marketing, fundraising, sponsorship, campaigns and events, monthly giving, major donor and swag sales strategies. Assist in strategic donor stewardship and engagement efforts with staff Assist in soliciting contributions from foundations, organizations, and individuals for annual in-kind (good/services) or cash contributions. Assist in spreading awareness and cultivating new funding opportunities Provide regular progress reports to the board of directors. Time commitment We ask that Fundraising & Marketing Committee Members commit to at least a one-year term and attend 8 out of 11 monthly meetings (2023-10-01) AND 1-2 hours per month of committee specific tasks. This will provide an overall picture of how our fundraising strategy is executed during any given year. Committee Roles Fundraising & Marketing Committee Co-Chair Responsibilities Provide monthly fundraising updates during BoD Meetings Present Mid-Year Fundraising Update with DC in June/July Share any support asks from the committee to the Board Oversee and support execution of quarterly revenue goals in fundraising strategy, particularly corporate and foundation fundraising Provide monthly coaching on committee leadership and project management support for DC Events Lead(s) Support procurement efforts - prospecting, sending out requests, coordinating pickups, and maintaining and updating procurement sheet Support event planning logistics - proofreading event materials, support with day-of scheduling Oversee volunteers and provide support as needed Marketing and Outreach Lead(s) Support Comms Associate with collateral and social media content and scheduling for events and campaigns Connect with community partners about fundraising efforts 1 small fundraiser/partnership per quarter Qualifications Ideal candidates will have the following qualifications: An ability to attend evening meetings consistently via video call Experience in strategic fundraising & marketing, events, campaigns, and/or stewardship and/OR willingness to learn A passion for supporting diverse communities A desire to cultivate relationships and networks to support fundraising objectives Personal qualities of integrity, credibility, and a passion for improving the lives of WorldJobs Ltd.'s beneficiaries Service on this committee is without remuneration, except for administrative support, travel, and accommodation costs in relation to committee' duties. To become a member of this committee, please complete this interest form;['advise others', 'apply knowledge of social sciences and humanities', 'assume responsibility', 'attend to detail', 'build networks', 'carry out calculations', 'comply with regulations', 'demonstrate curiosity', 'demonstrate intercultural competence', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'instruct others', 'lead others', 'manage financial and material resources', 'manage quality', 'meet commitments', 'motivate others', 'operate digital hardware', 'organise information, objects and resources', 'plan', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'think analytically', 'think critically', 'think holistically', 'use communication and collaboration software', 'work in teams'];<organisation>'s The Fundraising & Marketing Committee supports creative and strategic fundraising and marketing activities under the guidance of development staff. This includes attending monthly meetings, contributing to the development and execution of fundraising and marketing events and campaigns, communicating fundraising priorities to the rest of the BoD and encouraging individual fundraising efforts. You will have the opportunity to gain greater insight into how to support the financial needs of executing quality programming. Committee Meetings Regularly attend and actively participate in monthly committee meetings Review agenda and Fundraising Calendar prior to meetings Assist in planning, reviewing and guiding marketing, fundraising, sponsorship, campaigns and events, monthly giving, major donor and swag sales strategies. Assist in strategic donor stewardship and engagement efforts with staff Assist in soliciting contributions from foundations, organizations, and individuals for annual in-kind (good/services) or cash contributions. Assist in spreading awareness and cultivating new funding opportunities Provide regular progress reports to the board of directors. Time commitment We ask that Fundraising & Marketing Committee Members commit to at least a one-year term and attend 8 out of 11 monthly meetings (<date>) AND 1-2 hours per month of committee specific tasks. This will provide an overall picture of how our fundraising strategy is executed during any given year. Committee Roles Fundraising & Marketing Committee Co-Chair Responsibilities Provide monthly fundraising updates during BoD Meetings Present Mid-Year Fundraising Update with DC in June/July Share any support asks from the committee to the Board Oversee and support execution of quarterly revenue goals in fundraising strategy, particularly corporate and foundation fundraising Provide monthly coaching on committee leadership and project management support for DC Events Lead(s) Support procurement efforts - prospecting, sending out requests, coordinating pickups, and maintaining and updating procurement sheet Support event planning logistics - proofreading event materials, support with day-of scheduling Oversee volunteers and provide support as needed Marketing and Outreach Lead(s) Support Comms Associate with collateral and social media content and scheduling for events and campaigns Connect with community partners about fundraising efforts 1 small fundraiser/partnership per quarter Qualifications Ideal candidates will have the following qualifications: An ability to attend evening meetings consistently via video call Experience in strategic fundraising & marketing, events, campaigns, and/or stewardship and/OR willingness to learn A passion for supporting diverse communities A desire to cultivate relationships and networks to support fundraising objectives Personal qualities of integrity, credibility, and a passion for improving the lives of <organisation>'s beneficiaries Service on this committee is without remuneration, except for administrative support, travel, and accommodation costs in relation to committee' duties. To become a member of this committee, please complete this interest form
7;Give the Gift of Comfort with Handmade Items for Hospice Patients - Remote MD/DE;Give the Gift of Comfort with Handmade Items for Hospice Patients - Remote MD/DE At this time, WorldJobs Ltd. patients need extra care and support. Provide warmth, comfort, and dignity to WorldJobs Ltd. Hospice patients by volunteering to create handmade lap blankets, prayer shawls, Bereavement pillows, adaptable clothing or bibs. These beautiful items are provided to our patients during times of need for increased support. This is a flexible volunteer position and can be done in any location convenient to you. Completed items can be dropped off to the WorldJobs Ltd. office or picked up by WorldJobs Ltd. staff. Supplies neeeded for gifts will be provided by the Volunteer Services team. Volunteer training is provided.;['demonstrate willingness to learn', 'express yourself creatively', 'keep an open mind', 'manage time', 'think creatively', 'use equipment, tools or technology with precision', 'work independently'];At this time, <organisation> patients need extra care and support. Provide warmth, comfort, and dignity to <organisation> Hospice patients by volunteering to create handmade lap blankets, prayer shawls, Bereavement pillows, adaptable clothing or bibs. These beautiful items are provided to our patients during times of need for increased support. This is a flexible volunteer position and can be done in any location convenient to you. Completed items can be dropped off to the <organisation> office or picked up by <organisation> staff. Supplies neeeded for gifts will be provided by the Volunteer Services team. Volunteer training is provided.
8;Advocacy Partner;Advocacy Partner Join WorldJobs Ltd. as an advocacy partner and make a difference in the ocular melanoma community. You can help WorldJobs Ltd. with: Fund research Plan events Make our registry better Create exciting fundraisers Develop new products and services for ocular melanoma Give your input on publications Website and marketing Most importantly, be a part of changing the future if OM.;['apply knowledge of science, technology and engineering', 'apply knowledge of social sciences and humanities', 'assume responsibility', 'attend to detail', 'create digital content', 'demonstrate awareness of health risks ', 'make decisions', 'manage financial and material resources', 'manage quality', 'organise information, objects and resources', 'plan', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show determination', 'show entrepreneurial spirit', 'show initiative', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'work independently'];Join <organisation> as an advocacy partner and make a difference in the ocular melanoma community. You can help <organisation> with: Fund research Plan events Make our registry better Create exciting fundraisers Develop new products and services for ocular melanoma Give your input on publications Website and marketing Most importantly, be a part of changing the future if OM.
9;Veterans Helping Veterans: Become a Hospice Volunteer!;Veterans Helping Veterans: Become a Hospice Volunteer! WorldJobs Ltd. is proud to be a partner with We Honor Veterans, a national partnership between the VA and the National Hospice and Palliative Care Organization (NHPCO). We Honor Veterans is a pioneering program focused on respectful inquiry, compassionate listening and grateful acknowledgment to our veterans. Are you a Veteran or on Active Duty with time and a desire to give back? YOU can increase the quality of life of veterans and their families who are affected by a terminal diagnosis. Even better, you can volunteer all over the Sacramento area or even from your own home! We are currently training volunteers to be.... Direct Care Patient Volunteers: Visit patients in their homes or facilities to provide companionship and support all across the Sacramento area! Veteran volunteers are always in demand for our veteran patient population in the Sacramento area and the need will only continue to grow in the Sacramento area. Vigil/Respite Volunteers: Offer your comfort and presence to patients during the last hours of their lives or provide relief to patient caregivers for a few hours! Bereavement Phone Call Volunteers: After a loved one has passed away, WorldJobs Ltd. Hospice is committed to checking in with our families to see how they are doing on a regular basis. Make phone calls that offer support and comfort to families grieving a loss. Calls can be made from your own home! Circle of Care Phone Call Volunteers: Check in with our patients' families before the weekend to make sure they have all of their needs met! (medications, supplies, etc.) Calls can be made from your own home! If any of these opportunities sound interesting to you, contact our Manager of Volunteer Services Coordinator, Maxime Samplinger at maxime@worldjobs.com to learn more.;['apply hygiene standards', 'apply knowledge of philosophy, ethics and religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage time', 'meet commitments', 'organise information, objects and resources', 'protect the health of others', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'work independently'];<organisation> is proud to be a partner with We Honor Veterans, a national partnership between the VA and the National Hospice and Palliative Care Organization (NHPCO). We Honor Veterans is a pioneering program focused on respectful inquiry, compassionate listening and grateful acknowledgment to our veterans. Are you a Veteran or on Active Duty with time and a desire to give back? YOU can increase the quality of life of veterans and their families who are affected by a terminal diagnosis. Even better, you can volunteer all over the Sacramento area or even from your own home! We are currently training volunteers to be.... Direct Care Patient Volunteers: Visit patients in their homes or facilities to provide companionship and support all across the Sacramento area! Veteran volunteers are always in demand for our veteran patient population in the Sacramento area and the need will only continue to grow in the Sacramento area. Vigil/Respite Volunteers: Offer your comfort and presence to patients during the last hours of their lives or provide relief to patient caregivers for a few hours! Bereavement Phone Call Volunteers: After a loved one has passed away, <organisation> Hospice is committed to checking in with our families to see how they are doing on a regular basis. Make phone calls that offer support and comfort to families grieving a loss. Calls can be made from your own home! Circle of Care Phone Call Volunteers: Check in with our patients' families before the weekend to make sure they have all of their needs met! (medications, supplies, etc.) Calls can be made from your own home! If any of these opportunities sound interesting to you, contact our Manager of Volunteer Services Coordinator, <first_name> <last_name> at <email> to learn more.
