task_id;title;description;y;virtual;final_cause_area;foundTransversalSkills;skill_len;text_len;transversalSkillList
3859158;Fundraising Leader;We are a small 501(C)(3) Nonprofit located in Brentwood Ca. 94513 with the Mission of helping Senior Citizens with the cost of In-Home Care and Assisted living, we have been operating for three years and need an experienced fundraiser to help us out. We are looking for someone who has experience with small nonprofits, with a limited budget and their fundraising efforts, this will be a volunteer, part time position that should only require between 3 and 8 hours per week, coming up with fundraising ideas and their promotion and teaching the rest of us how to do this.;['Donor Management', 'Fundraising', 'Grant Writing / Research', 'CSR / Volunteer Coordination', 'Community Outreach'];0;Social and health;"[{'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'Offer suggestions about the best course of action.', 'reasonForLabel': 'Advising others on fundraising ideas.'}, {'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'Be proactive and take the first step in an action without waiting for what others say or do.', 'reasonForLabel': 'Taking the lead in coming up with fundraising ideas.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Make and defend judgements based on internal evidence and external criteria.', 'reasonForLabel': 'Evaluating different fundraising strategies.'}, {'preferredLabel': 'communicate effectively', 'verbatimQuoteForLabel': 'Speak in a structured, deliberate and face-to-face manner to a group of listeners to inform, influence, or entertain them.', 'reasonForLabel': 'Teaching others how to fundraise.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': ""Alter one's attitude or behaviour to accommodate modifications in the workplace."", 'reasonForLabel': 'Adapting to a part-time volunteer role with limited budget.'}]";5;590;['apply knowledge of philosophy, ethics and religion', 'show initiative', 'think critically', 'communicate effectively', 'adapt to change']
3917001;Bring Happiness and Joy Through Activities in Senior Living Facilities!;Brigthen someone's day, or even the whole room, by volunteering your time to host activities such as Bingo, Trivia or any kind of game night in local care facilities! Alameda Care Hospice is seeking  enthusiastic volunteers to bring fun, laughter, and companionship to seniors and individuals in need of social connection. As a volunteer, you can: -Bring excitement through games like Bingo, Trivia or Arts and Crafts -Build relationships with residents who cherish companionship -Boost morale and create a positive, engaging atmosphere No experience is needed- just a warm heart and a willingness to share your time! Volunteers are needed in Contra Costa, Solano, San Francisco, Alameda, and San Jose. If you are ready to bring joy to others, sign up today! Contact us at Lauren Gernhardt- Volunteer Coordinator, volunteer@alamedahospice.com to get started! Be the reason someome smiles today!;['Hospice Care', 'People Skills'];0;Social and health;"[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': ""Brigthen someone's day"", 'reasonForLabel': 'Volunteers bring joy without waiting.'}, {'preferredLabel': 'manage frustration', 'verbatimQuoteForLabel': 'create a positive, engaging atmosphere', 'reasonForLabel': 'Handling challenges with positivity and calmness.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'Boost morale and create a positive', 'reasonForLabel': 'Understanding and providing considerate attention.'}, {'preferredLabel': 'engage others in environment friendly behaviours', 'verbatimQuoteForLabel': 'host activities such as Bingo, Trivia or any kind of game night', 'reasonForLabel': 'Promoting fun and social connection.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'No experience is needed- just a warm heart', 'reasonForLabel': 'Efficiently providing joy without prior experience.'}, {'preferredLabel': 'show confidence', 'verbatimQuoteForLabel': 'just a warm heart and a willingness to share your time!', 'reasonForLabel': 'Volunteers demonstrate self-assurance in their actions.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Contact us at Lauren Gernhardt- Volunteer Coordinator, volunteer@alamedahospice.com to get started!', 'reasonForLabel': 'Evaluating the credibility and reliability of information before acting.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'No experience is needed- just a warm heart and a willingness to share your time!', 'reasonForLabel': 'Adapting to new roles and responsibilities without prior experience.'}, {'preferredLabel': 'work in teams', 'verbatimQuoteForLabel': ""Brigthen someone's day, or even the whole room"", 'reasonForLabel': 'Collaborating with others to bring joy.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'Be the reason someome smiles today!', 'reasonForLabel': ""Commitment to making a positive impact on people's lives.""}]";2;966;['show initiative', 'manage frustration', 'show empathy', 'engage others in environment friendly behaviours', 'work efficiently', 'show confidence', 'think critically', 'adapt to change', 'work in teams', 'show determination']
3329161;Bring Happiness to Some in Need - Santa Cruz/Watsonville;You can bring happiness to someone in need! At Bridge Hospice, we are looking for dedicated and compassionate volunteers to provide companionship for our patients. You can read a book, share stories, play music or games and take them out for a stroll in the garden. Spending time with hospice patients is such a heart warming experience. It is a wonderful way to give of your time and serve the patients during the end of life. Our hospice patients are located in skilled nursing facilities and homes throughout the Central Coast, Monterey, Santa Cruz and San Benito Counties. Apple here: https://www.cognitoforms.com/BridgeHospice1/BridgeHospiceVolunteerApplication;['Elder care', 'Hospice Care', 'Customer Service', 'People Skills', 'Patient Care', 'Social Work'];0;Social and health;[{'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'prevent any kind of symbolic violence and isolation', 'reasonForLabel': 'Prevents symbolic violence and isolation.'}, {'preferredLabel': 'engage others in environment friendly behaviours', 'verbatimQuoteForLabel': 'Inform about and promote environmental friendly behaviours', 'reasonForLabel': 'Promotes environmentally friendly behaviors.'}, {'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'You can bring happiness to someone in need!', 'reasonForLabel': 'Brings happiness by taking the first step.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'spending time with hospice patients is such a heart warming experience.', 'reasonForLabel': 'Adapts to different patient needs.'}, {'preferredLabel': 'show confidence', 'verbatimQuoteForLabel': 'You can bring happiness to someone in need!', 'reasonForLabel': 'Confidence in providing care.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'you are looking for dedicated and compassionate volunteers', 'reasonForLabel': 'Critical thinking in volunteer selection.'}, {'preferredLabel': 'communicate effectively', 'verbatimQuoteForLabel': 'read a book, share stories, play music or games', 'reasonForLabel': 'Effective communication during activities.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'spending time with hospice patients is such a heart warming experience.', 'reasonForLabel': 'Efficient use of time for patient care.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'You can bring happiness to someone in need!', 'reasonForLabel': 'Determination to provide support.'}, {'preferredLabel': 'maintain psychological well-being', 'verbatimQuoteForLabel': 'spending time with hospice patients is such a heart warming experience.', 'reasonForLabel': 'Maintains psychological well-being of patients.'}];6;723;['show empathy', 'engage others in environment friendly behaviours', 'show initiative', 'adapt to change', 'show confidence', 'think critically', 'communicate effectively', 'work efficiently', 'show determination', 'maintain psychological well-being']
3892093;MANDARIN SPEAKERS - IT'S ONLY ONE PHONE CALL PER WEEK - BUT IT'S AN IMPORTANT ONE!;Our Friendly Visiting Program matches volunteers with homebound and isolated older adults to  help lessen their social isolation.  Many of these clients cannot have in home visitors, but would really benefit from one phone call per week, knowing someone is out there who values what they have to say. Right now we have several Mandarin  speaking clients who could use a phone caller.  If you , or someone you know, are interested in this opportunity, plesase reach out via email or by calling Suzanne at 718 454-2100, ezt 123. Thank you for reading this far!;['Cantonese / Mandarin', 'Korean'];1;Social and health;"[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'help lessen their social isolation', 'reasonForLabel': 'Helping reduce social isolation requires proactive action.'}, {'preferredLabel': 'communicate effectively', 'verbatimQuoteForLabel': 'knowing someone is out there who values what they have to say', 'reasonForLabel': 'Effective communication is needed to convey value and support.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'Right now we have several Mandarin speaking clients', 'reasonForLabel': 'Adapting to new client needs, such as language requirements.'}, {'preferredLabel': 'work in teams', 'verbatimQuoteForLabel': 'If you, or someone you know, are interested in this opportunity', 'reasonForLabel': 'Collaborating with others to match volunteers and clients.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'knowing someone is out there who values what they have to say', 'reasonForLabel': ""Empathy is needed to understand the client's feelings of isolation.""}]";2;641;['show initiative', 'communicate effectively', 'adapt to change', 'work in teams', 'show empathy']
3891969;Brighten Someone's Day with a Phone Call Away: Hospice Tuck-In Caller;Want to make a lasting difference in someone’s life as well as your own. Compassionate Care Hospice is looking for dedicated volunteers to call the patients to make sure they have everything they need as the weekend approaches. Our onboarding process includes comprehensive hospice education and training. Consider joining our team of compassionate volunteers making a difference in brightening the lives of our patients!;['Administrative Support', 'Customer Service', 'Case Work / Management', 'Hospice Care', 'Relationship Building', 'Verbal / Written Communication'];1;Social and health;"[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'make sure they have everything', 'reasonForLabel': ""Volunteers need to take the first step in ensuring patients' needs.""}, {'preferredLabel': 'accept criticism and guidance', 'verbatimQuoteForLabel': 'onboarding process includes comprehensive hospice education and training', 'reasonForLabel': 'Training indicates a willingness to accept feedback and improve.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'Compassionate Care Hospice is looking for dedicated volunteers', 'reasonForLabel': 'Volunteers need to understand the ethical implications of their actions.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'make a difference in brightening the lives of our patients', 'reasonForLabel': 'Empathy is crucial for providing compassionate care.'}, {'preferredLabel': 'protect the health of others', 'verbatimQuoteForLabel': 'Compassionate Care Hospice is looking for dedicated volunteers to call the patients', 'reasonForLabel': 'Volunteers need to ensure patient well-being and safety.'}, {'preferredLabel': 'ensure customer orientation', 'verbatimQuoteForLabel': 'make sure they have everything they need as the weekend approaches', 'reasonForLabel': ""Volunteers must understand and meet patients' needs.""}, {'preferredLabel': 'cope with stress', 'verbatimQuoteForLabel': 'Compassionate Care Hospice is looking for dedicated volunteers to call the patients', 'reasonForLabel': 'Handling calls requires managing stress effectively.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'onboarding process includes comprehensive hospice education and training', 'reasonForLabel': 'Efficient onboarding ensures effective volunteering.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Compassionate Care Hospice is looking for dedicated volunteers to call the patients', 'reasonForLabel': 'Critical thinking helps in assessing patient needs.'}, {'preferredLabel': 'show confidence', 'verbatimQuoteForLabel': 'make a difference in brightening the lives of our patients', 'reasonForLabel': 'Confidence is necessary for effective communication and support.'}]";6;491;['show initiative', 'accept criticism and guidance', 'apply knowledge of philosophy, ethics and religion', 'show empathy', 'protect the health of others', 'ensure customer orientation', 'cope with stress', 'work efficiently', 'think critically', 'show confidence']
3863002;Volunteer Support Assistant;Lend a Hand, Change a Life: Volunteer with Us!  Are you ready to make a meaningful difference in the lives of single mothers and their children? ASM is seeking compassionate and dedicated volunteers to join our team, that provides vital support to single mothers and their children in our community.  Why Volunteer with Us?  * Support Single Mothers: Help alleviate the stress and challenges single mothers face by providing reliable childcare. * Flexible Opportunities: Whether you can volunteer once a week or more frequently, your time is invaluable. * Community and Connection: Be part of a caring community dedicated to uplifting families. * Personal Fulfillment: Experience the joy of knowing you are making a significant impact in someone’s life.  What we Offer: * A friendly and inclusive environment * Opportunities to build lasting relationships with families and other volunteers  Tasks: Uses automated office systems, such as word processing equipment or a computer, to prepare a variety of letters, memos, and other material from draft or specific instructions. Selects the appropriate letter or memo format, proofreads and edits documents for grammar, punctuation, and spelling, and prepares document for distribution or mail. Originates procedural correspondence such as form letters and routine notices to respond to requests for information or to begin office processes. Sets up and maintains office databases and logs. Creates and updates office spreadsheets. Establishes and maintains confidential alphabetical, chronological, or subject matter files and records. Locates, extracts, and summarizes information from files for preparation of reports or to respond to inquiries, routine requests, or complaints. Determines release of information according to established procedures and confidentiality. Tracks the handling of correspondence and/or written complaints to the time of completion. Ensures office responses are completed in a timely manner. Responds to inquiries of a routine nature regarding the program policies in person or virtually, by telephone, or by regular or electronic mail. Collects information regarding more complex inquiries and refers to appropriate staff for follow-up as necessary. Maintains calendars, schedules appointments and meetings, and reserves meeting room facilities or space. Types, photocopies, and distributes meeting agendas and/or minutes. Prepares or assists in the preparation of personnel related documents and forms. Ability to research and locate timekeeping functions for the work unit. Operates office machinery, such as microcomputers, photocopiers, fax machines, calculators, telephones, scanners, and printers.;['Administrative Support', 'Child Development', 'Advertising', 'Basic Computer Skills'];1;Social and health;[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'Support Single Mothers:', 'reasonForLabel': 'Volunteers are expected to take proactive steps.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'Experience the joy of knowing you are making a significant impact in someone’s life.', 'reasonForLabel': 'Reflects personal fulfillment and ethical responsibility.'}, {'preferredLabel': 'accept criticism and guidance', 'verbatimQuoteForLabel': 'Responds to inquiries of a routine nature regarding the program policies in person or virtually, by telephone, or by regular or electronic mail.', 'reasonForLabel': 'Involves handling feedback and requests.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'Whether you can volunteer once a week or more frequently, your time is invaluable.', 'reasonForLabel': 'Volunteers need to adapt to flexible schedules.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'Experience the joy of knowing you are making a significant impact in someone’s life.', 'reasonForLabel': 'Requires commitment and hard work.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Collects information regarding more complex inquiries and refers to appropriate staff for follow-up as necessary.', 'reasonForLabel': 'Involves evaluating and analyzing information.'}, {'preferredLabel': 'manage financial and material resources', 'verbatimQuoteForLabel': 'Ability to research and locate timekeeping functions for the work unit.', 'reasonForLabel': 'Involves managing office resources.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'Support Single Mothers: Help alleviate the stress and challenges single mothers face by providing reliable childcare.', 'reasonForLabel': 'Requires understanding and compassion for others.'}, {'preferredLabel': 'negotiate compromises', 'verbatimQuoteForLabel': 'Responds to inquiries of a routine nature regarding the program policies in person or virtually, by telephone, or by regular or electronic mail.', 'reasonForLabel': 'Involves resolving differences and providing support.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'Ensure office responses are completed in a timely manner.', 'reasonForLabel': 'Requires completing tasks promptly.'}];4;2709;['show initiative', 'apply knowledge of philosophy, ethics and religion', 'accept criticism and guidance', 'adapt to change', 'show determination', 'think critically', 'manage financial and material resources', 'show empathy', 'negotiate compromises', 'work efficiently']
3917085;Join our Fundraising & Marketing Committee!;tSB's The Fundraising & Marketing Committee supports creative and strategic fundraising and marketing activities under the guidance of development staff. This includes attending monthly meetings, contributing to the development and execution of fundraising and marketing events and campaigns, communicating fundraising priorities to the rest of the BoD and encouraging individual fundraising efforts. You will have the opportunity to gain greater insight into how to support the financial needs of executing quality programming. Committee Meetings Regularly attend and actively participate in monthly committee meetings Review agenda and Fundraising Calendar prior to meetings Assist in planning, reviewing and guiding marketing, fundraising, sponsorship,  campaigns and events, monthly giving, major donor and swag sales strategies. Assist in strategic donor stewardship and engagement efforts with staff Assist in soliciting contributions from foundations, organizations, and individuals for annual in-kind (good/services) or cash contributions. Assist in spreading awareness and cultivating new funding opportunities Provide regular progress reports to the board of directors. Time commitment We ask that Fundraising & Marketing Committee Members commit to at least a one-year term and attend 8 out of 11 monthly meetings (no meeting in December) AND 1-2 hours per month of committee specific tasks. This will provide an overall picture of how our fundraising strategy is executed during any given year. Committee Roles Fundraising & Marketing Committee Co-Chair Responsibilities Provide monthly fundraising updates during BoD Meetings Present Mid-Year Fundraising Update with DC in June/July Share any support asks from the committee to the Board Oversee and support execution of quarterly revenue goals in fundraising strategy, particularly corporate and foundation fundraising Provide monthly coaching on committee leadership and project management support for DC Events Lead(s) Support procurement efforts - prospecting, sending out requests, coordinating pickups, and maintaining and updating procurement sheet Support event planning logistics - proofreading event materials, support with day-of scheduling Oversee volunteers and provide support as needed Marketing and Outreach Lead(s) Support Comms Associate with collateral and social media content and scheduling for events and campaigns Connect with community partners about fundraising efforts 1 small fundraiser/partnership per quarter Qualifications Ideal candidates will have the following qualifications: An ability to attend evening meetings consistently via video call Experience in strategic fundraising & marketing, events, campaigns, and/or stewardship and/OR willingness to learn A passion for supporting diverse communities A desire to cultivate relationships and networks to support fundraising objectives Personal qualities of integrity, credibility, and a passion for improving the lives of tSB’s beneficiaries Service on this committee is without remuneration, except for administrative support, travel, and  accommodation costs in relation to committee’ duties. To become a member of this committee, please complete this  interest form;['Event Design & Planning', 'Marketing & Communications (Mar/Com)', 'Donor Management', 'Fundraising', 'Grant Writing / Research', 'Community Outreach'];1;Social and health;[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'Support creative and strategic fundraising activities.', 'reasonForLabel': 'Initiative shown in supporting strategic activities.'}, {'preferredLabel': 'accept criticism and guidance', 'verbatimQuoteForLabel': 'Provide monthly coaching on committee leadership.', 'reasonForLabel': 'Coaching implies accepting feedback and guidance.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'Support the financial needs of executing quality programming.', 'reasonForLabel': 'Philosophical understanding in supporting ethical financial needs.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'Attend 8 out of 11 monthly meetings and commit to a one-year term.', 'reasonForLabel': 'Adaptation to schedule changes and long-term commitment.'}, {'preferredLabel': 'apply knowledge of science, technology and engineering', 'verbatimQuoteForLabel': 'Support event planning logistics - proofreading event materials.', 'reasonForLabel': 'Technical support in event planning.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Assist in soliciting contributions from foundations, organizations, and individuals.', 'reasonForLabel': 'Critical evaluation of fundraising strategies.'}, {'preferredLabel': 'manage financial and material resources', 'verbatimQuoteForLabel': 'Support procurement efforts - prospecting, sending out requests.', 'reasonForLabel': 'Financial management in procurement activities.'}, {'preferredLabel': 'show confidence', 'verbatimQuoteForLabel': 'Commit to at least a one-year term and attend 8 out of 11 monthly meetings.', 'reasonForLabel': 'Confidence shown in long-term commitment.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'Attend and actively participate in monthly committee meetings.', 'reasonForLabel': 'Efficient participation in regular meetings.'}, {'preferredLabel': 'think creatively', 'verbatimQuoteForLabel': 'Support the financial needs of executing quality programming.', 'reasonForLabel': 'Creative thinking in supporting fundraising activities.'}];6;3259;['show initiative', 'accept criticism and guidance', 'apply knowledge of philosophy, ethics and religion', 'adapt to change', 'apply knowledge of science, technology and engineering', 'think critically', 'manage financial and material resources', 'show confidence', 'work efficiently', 'think creatively']
2785619;Give the Gift of Comfort with Handmade Items for Hospice Patients - Remote MD/DE;At this time, Hospice patients need extra care and support. Provide warmth, comfort, and dignity to Amedisys Hospice patients by volunteering to create handmade lap blankets, prayer shawls, Bereavement pillows, adaptable clothing or bibs. These beautiful items are provided to our patients during times of need for increased support. This is a flexible volunteer position and can be done in any location convenient to you. Completed items can be dropped off to the Amedisys Hospice office or picked up by Amedisys Hospice staff. Supplies neeeded for gifts will be provided by the Volunteer Services team. Volunteer training is provided.;['Veteran Care', 'Hospice Care', 'Crocheting', 'Knitting', 'Quilting', 'Sewing'];1;Social and health;[{'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'Provide warmth, comfort, and dignity', 'reasonForLabel': 'Empathy is shown by providing warmth.'}, {'preferredLabel': 'protect the health of others', 'verbatimQuoteForLabel': 'Provide warmth, comfort, and dignity', 'reasonForLabel': 'Ensuring patients have comfort protects their well-being.'}, {'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'Volunteer to create handmade lap blankets', 'reasonForLabel': 'Initiative is shown by volunteering for tasks.'}, {'preferredLabel': 'think creatively', 'verbatimQuoteForLabel': 'create handmade lap blankets, prayer shawls', 'reasonForLabel': 'Creativity is needed to design handmade items.'}, {'preferredLabel': 'organise information, objects and resources', 'verbatimQuoteForLabel': 'Supplies needed for gifts will be provided', 'reasonForLabel': 'Organizing supplies is part of resource management.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'Flexible volunteer position', 'reasonForLabel': 'Flexibility and adaptability are required in a flexible role.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Volunteer training is provided', 'reasonForLabel': 'Critical thinking is needed to understand the training.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'Provide warmth, comfort, and dignity', 'reasonForLabel': 'Philosophical and ethical considerations are involved in care.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'Volunteer to create handmade lap blankets', 'reasonForLabel': 'Determination is needed for volunteer work.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'Completed items can be dropped off', 'reasonForLabel': 'Efficiently completing tasks is required.'}];6;717;['show empathy', 'protect the health of others', 'show initiative', 'think creatively', 'organise information, objects and resources', 'adapt to change', 'think critically', 'apply knowledge of philosophy, ethics and religion', 'show determination', 'work efficiently']
3848221;Advocacy Partner;Join A Cure In Sight as an advocacy partner and make a difference in the ocular melanoma community. You can help A Cure In Sight with: Fund research Plan events Make our registry better Create exciting fundraisers Develop new products and services for ocular melanoma Give your input on publications Website and marketing Most importantly, be a part of changing the future if OM.;['Graphic Design / Print', 'Advocacy', 'Lobbying', 'Copy Writing / Copy Editing', 'Fundraising', 'Grant Writing / Research'];1;Social and health;[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'Make a difference', 'reasonForLabel': 'Making a difference requires taking first step.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'changing the future', 'reasonForLabel': 'Changing future involves ethical considerations.'}, {'preferredLabel': 'accept criticism and guidance', 'verbatimQuoteForLabel': 'Give your input', 'reasonForLabel': 'Giving input implies accepting feedback.'}, {'preferredLabel': 'adapt to change', 'verbatimQuoteForLabel': 'Plan events', 'reasonForLabel': 'Planning involves adapting to new situations.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'Make a difference', 'reasonForLabel': 'Making a difference requires commitment and hard work.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'Plan events', 'reasonForLabel': 'Planning involves critical evaluation of ideas.'}, {'preferredLabel': 'engage others in environment friendly behaviours', 'verbatimQuoteForLabel': 'Website and marketing', 'reasonForLabel': 'Marketing can involve promoting eco-friendly practices.'}, {'preferredLabel': 'work efficiently', 'verbatimQuoteForLabel': 'Make our registry better', 'reasonForLabel': 'Efficiently improving the registry is required.'}, {'preferredLabel': 'think creatively', 'verbatimQuoteForLabel': 'Create exciting fundraisers', 'reasonForLabel': 'Creating fundraisers requires innovative thinking.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'Most importantly, be a part of changing the future if OM.', 'reasonForLabel': 'Empathy is crucial for understanding and helping others.'}];6;396;['show initiative', 'apply knowledge of philosophy, ethics and religion', 'accept criticism and guidance', 'adapt to change', 'show determination', 'think critically', 'engage others in environment friendly behaviours', 'work efficiently', 'think creatively', 'show empathy']
3220527;Veterans Helping Veterans: Become a Hospice Volunteer!;AccentCare Hospice and Palliative Care of Sacramento is proud to be a partner with We Honor Veterans, a national partnership between the VA and the National Hospice and Palliative Care Organization (NHPCO). We Honor Veterans is a pioneering program focused on respectful inquiry, compassionate listening and grateful acknowledgment to our veterans. Are you a Veteran or on Active Duty with time and a desire to give back? YOU can increase the quality of life of veterans and their families who are affected by a terminal diagnosis. Even better, you can volunteer all over the Sacramento area or even from your own home! We are currently training volunteers to be.... Direct Care Patient Volunteers: Visit patients in their homes or facilities to provide companionship and support all across the Sacramento area! Veteran volunteers are always in demand for our veteran patient population in the Sacramento area and the need will only continue to grow in the Sacramento area. Vigil/Respite Volunteers: Offer your comfort and presence to patients during the last hours of their lives or provide relief to patient caregivers for a few hours! Bereavement Phone Call Volunteers: After a loved one has passed away, AccentCare Hospice is committed to checking in with our families to see how they are doing on a regular basis. Make phone calls that offer support and comfort to families grieving a loss. Calls can be made from your own home! Circle of Care Phone Call Volunteers: Check in with our patients' families before the weekend to make sure they have all of their needs met! (medications, supplies, etc.) Calls can be made from your own home! If any of these opportunities sound interesting to you, contact our Manager of Volunteer Services Coordinator, Makaela Franklin at makaelafranklin@accentcare.com to learn more.;['Elder care', 'Healthcare', 'Hospice Care', 'Veteran Care', 'People Skills', 'Relationship Building'];0;Social and health;[{'preferredLabel': 'show initiative', 'verbatimQuoteForLabel': 'YOU can increase the quality of life', 'reasonForLabel': 'Volunteers are encouraged to take action.'}, {'preferredLabel': 'accept criticism and guidance', 'verbatimQuoteForLabel': 'contact our Manager of Volunteer Services Coordinator', 'reasonForLabel': 'Coordinating with a manager implies feedback.'}, {'preferredLabel': 'apply knowledge of philosophy, ethics and religion', 'verbatimQuoteForLabel': 'a national partnership between the VA and the NHPCO', 'reasonForLabel': 'Partnership involves understanding roles and values.'}, {'preferredLabel': 'adopt ways to reduce pollution', 'verbatimQuoteForLabel': 'even from your own home!', 'reasonForLabel': 'Volunteering remotely reduces travel emissions.'}, {'preferredLabel': 'meet commitments', 'verbatimQuoteForLabel': 'to learn more.', 'reasonForLabel': 'Commitment to learning and engagement is required.'}, {'preferredLabel': 'show determination', 'verbatimQuoteForLabel': 'YOU can increase the quality of life', 'reasonForLabel': 'Volunteers are committed to improving lives.'}, {'preferredLabel': 'think critically', 'verbatimQuoteForLabel': 'to see how they are doing on a regular basis.', 'reasonForLabel': 'Regular checks require critical evaluation.'}, {'preferredLabel': 'manage frustration', 'verbatimQuoteForLabel': 'checking in with our families', 'reasonForLabel': 'Handling emotional situations requires patience.'}, {'preferredLabel': 'show empathy', 'verbatimQuoteForLabel': 'offer support and comfort to families grieving a loss.', 'reasonForLabel': 'Empathy is crucial for providing comfort.'}, {'preferredLabel': 'negotiate compromises', 'verbatimQuoteForLabel': 'to see how they are doing on a regular basis.', 'reasonForLabel': 'Regular checks involve balancing needs and feedback.'}];6;1874;['show initiative', 'accept criticism and guidance', 'apply knowledge of philosophy, ethics and religion', 'adopt ways to reduce pollution', 'meet commitments', 'show determination', 'think critically', 'manage frustration', 'show empathy', 'negotiate compromises']
